City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Waipawa,NZ,-41.41,175.52,59.0,82,100,19.46,overcast clouds
296,Rocha,UY,-34.48,-54.33,79.72,55,0,10.38,clear sky
297,Victoria,HK,22.29,114.16,64.99,68,100,1.99,overcast clouds
298,Korla,CN,41.76,86.15,26.91,92,88,6.58,overcast clouds
299,Kasama,ZM,-10.21,31.18,68.27,69,60,3.65,broken clouds
300,Tautira,PF,-17.73,-149.15,86.0,66,20,13.87,few clouds
301,Bathsheba,BB,13.22,-59.52,84.2,74,20,18.34,few clouds
302,Homer,US,59.64,-151.55,33.01,95,90,2.26,mist
303,Mmabatho,ZA,-25.85,25.63,71.6,68,20,3.36,few clouds
304,Sheridan,US,44.83,-106.92,44.01,33,1,11.41,clear sky
305,Goma,CD,-1.68,29.22,61.72,82,87,2.48,overcast clouds
306,New Milford,US,40.93,-74.02,55.0,37,1,8.05,clear sky
307,Eureka,US,40.8,-124.16,52.0,66,1,2.84,clear sky
308,Bintulu,MY,3.17,113.03,73.4,94,20,5.82,few clouds
309,Mount Gambier,AU,-37.83,140.77,46.4,100,94,5.82,overcast clouds
310,Hashtrud,IR,37.48,47.05,35.56,96,100,1.68,overcast clouds
311,Codrington,AU,-38.27,141.97,49.06,90,89,6.38,overcast clouds
312,High Level,CA,58.52,-117.14,3.2,91,20,3.36,smoke
313,Ahipara,NZ,-35.17,173.17,65.17,92,100,11.92,overcast clouds
314,Tripoli,LY,32.88,13.19,66.24,57,0,23.38,clear sky
315,Berdigestyakh,RU,62.1,126.7,-7.44,90,100,5.73,overcast clouds
316,Goundam,ML,16.41,-3.67,80.13,16,100,9.4,overcast clouds
317,Clyde River,CA,70.47,-68.59,-13.0,75,1,5.82,clear sky
318,Anito,PH,12.45,125.29,78.84,86,55,13.09,broken clouds
319,Bologoye,RU,57.88,34.11,35.17,97,100,10.09,overcast clouds
320,Peniche,PT,39.36,-9.38,53.01,87,21,8.01,few clouds
321,Abu Kamal,SY,34.45,40.92,56.37,59,0,3.02,clear sky
322,Lagoa,PT,39.05,-27.98,60.98,74,99,27.34,overcast clouds
323,Necochea,AR,-38.55,-58.74,64.99,66,95,21.45,overcast clouds
324,Parabel,RU,58.7,81.48,0.34,93,28,4.47,scattered clouds
325,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,61,0,19.46,clear sky
326,Ryotsu,JP,38.08,138.43,45.07,89,100,15.79,overcast clouds
327,Alta Floresta,BR,-9.88,-56.09,95.0,44,40,5.82,scattered clouds
328,Kinarut,MY,5.82,116.05,75.2,94,40,5.82,scattered clouds
329,Tilichiki,RU,60.47,166.1,0.64,92,0,8.79,clear sky
330,Namtsy,RU,62.72,129.67,-32.8,66,0,4.47,clear sky
331,San Vicente,AR,-26.62,-54.13,90.3,38,74,3.29,light rain
332,Vila Velha,BR,-20.33,-40.29,82.4,69,20,11.41,few clouds
333,Aden,YE,12.78,45.04,78.84,78,10,11.39,clear sky
334,Onguday,RU,50.75,86.15,15.96,87,100,1.97,overcast clouds
335,Touros,BR,-5.2,-35.46,82.4,69,40,18.34,scattered clouds
336,Sorong,ID,-0.88,131.25,80.49,83,100,12.62,moderate rain
337,Lavumisa,SZ,-27.31,31.89,66.36,70,64,5.77,broken clouds
338,Timbiqui,CO,2.77,-77.67,80.6,81,96,8.7,light rain
339,Geraldton,AU,-28.77,114.6,64.4,63,100,10.29,overcast clouds
340,Thunder Bay,CA,48.4,-89.32,30.2,68,75,13.87,broken clouds
341,Plainview,US,40.78,-73.47,54.0,40,1,11.41,clear sky
342,Te Anau,NZ,-45.42,167.72,45.68,87,100,0.74,light rain
343,Mugumu,TZ,-1.85,34.7,63.19,93,100,2.64,moderate rain
344,Rajauri,IN,33.38,74.3,55.18,39,0,3.15,clear sky
345,Puro,PH,12.48,123.38,79.36,82,59,13.56,broken clouds
346,Ngorongoro,TZ,-3.24,35.49,55.54,98,100,3.09,light rain
