City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Santo Tomas,PH,77.0,light rain,14.11,121.14,Microtel by Wyndham Batangas
243,Cockburn Town,TC,80.6,scattered clouds,21.46,-71.14,Osprey Beach Hotel
245,Chuy,UY,79.05,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
258,Perdoes,BR,77.59,scattered clouds,-21.09,-45.09,Talismã Motel
267,Bubaque,GW,81.68,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
272,Lufilufi,WS,86.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
275,Sao Felix Do Xingu,BR,85.86,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
277,Neuquen,AR,75.2,clear sky,-38.95,-68.06,Hotel del Comahue
279,Tefe,BR,89.6,scattered clouds,-3.35,-64.71,Aracati Hotel
281,Borba,BR,92.52,moderate rain,-4.39,-59.59,Hotel da Amazônia
282,Pitimbu,BR,82.4,few clouds,-7.47,-34.81,Reserva do Abiaí
293,Sulangan,PH,81.97,scattered clouds,11.14,123.72,Maia's Beach Resort
296,Rocha,UY,79.72,clear sky,-34.48,-54.33,Beleza Pura B&B
300,Tautira,PF,86.0,few clouds,-17.73,-149.15,Pension Oaoa
301,Bathsheba,BB,84.2,few clouds,13.22,-59.52,Atlantis Hotel
318,Anito,PH,78.84,broken clouds,12.45,125.29,The Yellow House
325,Sao Joao Da Barra,BR,82.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
327,Alta Floresta,BR,95.0,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
328,Kinarut,MY,75.2,scattered clouds,5.82,116.05,Langkah Syabas Beach Resort
331,San Vicente,AR,90.3,light rain,-26.62,-54.13,Complejo Turístico Farelluk
332,Vila Velha,BR,82.4,few clouds,-20.33,-40.29,Hotel Vitória Palace
333,Aden,YE,78.84,clear sky,12.78,45.04,Sama Emirate Hotel
335,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
336,Sorong,ID,80.49,moderate rain,-0.88,131.25,The Waigo Hotel
338,Timbiqui,CO,80.6,light rain,2.77,-77.67,hotel diana
347,Pedernales,DO,84.2,few clouds,18.04,-71.74,Hotel Costa Marina
348,Sola,VU,77.99,broken clouds,-13.88,167.55,Ulkel Guest House
351,Salta,AR,89.6,broken clouds,-24.79,-65.41,Hotel Alejandro I
354,Rio Branco Do Sul,BR,82.4,light rain,-25.19,-49.31,Dr Hotel Rio Branco do Sul
355,Kousseri,CM,77.05,overcast clouds,12.08,15.03,Résidence le Palmier
358,Veraval,IN,75.78,clear sky,20.9,70.37,Lords Inn Somnath
363,Hobyo,SO,78.94,broken clouds,5.35,48.53,Halane Hotel and Restaurent
364,Safety Harbor,US,82.0,overcast clouds,27.99,-82.69,Safety Harbor Resort and Spa
365,Paso De Los Toros,UY,87.8,few clouds,-32.82,-56.52,Complejo Isabelino
371,Santo Antonio Do Sudoeste,BR,90.93,light rain,-26.07,-53.73,Hotel Frontera
381,Cidreira,BR,79.21,scattered clouds,-30.18,-50.21,Hotel Castelo
383,Alyangula,AU,75.2,mist,-13.85,136.42,Groote Eylandt Lodge
387,San Andres,CO,75.2,thunderstorm with light rain,12.58,-81.7,Hotel Arena Blanca
396,Miraflores,MX,79.0,clear sky,19.22,-98.81,Hotel Mansión
399,Malakal,SS,77.29,clear sky,9.53,31.66,Nile Palace Hotel
408,Panaba,MX,84.79,light rain,21.28,-88.27,Hotel Amor
411,French Harbor,HN,84.99,few clouds,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
413,Trairi,BR,81.93,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
415,Marsh Harbour,BS,77.74,broken clouds,26.54,-77.06,Abaco Beach Resort
423,Pouembout,NC,75.13,clear sky,-21.13,164.9,Camping de Tipenga
428,Presidente Medici,BR,92.82,scattered clouds,-11.18,-61.9,Oliveira Palace Hotel
429,Abadiania,BR,82.4,scattered clouds,-16.2,-48.71,Pousada Lírio D'Água
430,General Pico,AR,84.51,few clouds,-35.66,-63.76,Hotel Malargue
432,Cosala,MX,80.01,clear sky,24.41,-106.69,Hotel Real del Conde
438,Bissau,GW,82.4,clear sky,11.86,-15.6,Pensão Creola
440,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
441,Mana,GF,82.4,broken clouds,5.66,-53.78,LE SAMANA
442,Maragogi,BR,78.08,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
446,Sao Sebastiao,BR,79.29,few clouds,-23.76,-45.41,Hotel Recanto dos Pássaros
449,Poum,NC,75.76,clear sky,-20.23,164.02,Gîte kajeon
450,Mitsamiouli,KM,80.26,overcast clouds,-11.38,43.28,Foyer ADM
451,Beira,MZ,82.4,broken clouds,-19.84,34.84,Beira Terrace Hotel
454,Santa Maria,BR,87.8,broken clouds,-29.68,-53.81,Hotel Morotin
457,Puerto Lempira,HN,83.25,clear sky,15.27,-83.77,Hotel Yu baiwan
459,Ilheus,BR,82.4,broken clouds,-14.79,-39.05,Pontal Praia Hotel
465,Cabo San Lucas,MX,80.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
466,Samfya,ZM,75.06,broken clouds,-11.36,29.56,Chita Lodge Samfya
468,Cochabamba,BO,87.8,few clouds,-17.39,-66.16,Hotel Aranjuez Cochabamba
472,Manokwari,ID,79.45,heavy intensity rain,-0.87,134.08,Swiss Belhotel Manokwari
473,Atar,MR,80.6,overcast clouds,20.52,-13.05,Oumou Elghoura
476,Djenne,ML,83.68,scattered clouds,13.91,-4.55,Restaurant Kita Kouraou
478,Bosaso,SO,78.15,clear sky,11.28,49.18,Red Sea Hotel
480,Daru,PG,79.3,broken clouds,-9.08,143.21,New century hotel
481,Karratha,AU,79.38,light rain,-20.74,116.85,ibis Styles Karratha
483,Luwuk,ID,78.28,heavy intensity rain,-0.95,122.79,Hotel Santika Luwuk
484,Saint-Georges,GD,84.2,scattered clouds,12.06,-61.75,Siesta Hotel
485,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
